query_id	doc_id	human_rel
2024-217488	msmarco_v2.1_doc_45_1506027263#8_3073617797	0
2024-141577	msmarco_v2.1_doc_37_304449165#5_646957439	0
2024-105741	msmarco_v2.1_doc_46_697242332#4_1471819853	0
2024-96063	msmarco_v2.1_doc_39_170562554#1_346355368	0
2024-214257	msmarco_v2.1_doc_35_228387684#0_502110531	0
2024-213817	msmarco_v2.1_doc_51_692777906#3_1439609382	0
2024-213817	msmarco_v2.1_doc_10_773758599#3_1436227878	0
2024-143869	msmarco_v2.1_doc_26_325054698#16_650779189	0
2024-96063	msmarco_v2.1_doc_30_1691080197#0_3588061148	0
2024-141577	msmarco_v2.1_doc_23_681625181#3_1505078448	0
2024-22886	msmarco_v2.1_doc_13_1325318360#5_2928434059	0
2024-96063	msmarco_v2.1_doc_39_1199170318#3_2443097081	0
2024-69711	msmarco_v2.1_doc_43_183023711#7_404288552	0
2024-88894	msmarco_v2.1_doc_08_271708499#1_520044014	0
2024-141577	msmarco_v2.1_doc_00_725358051#2_1349421908	0
2024-19025	msmarco_v2.1_doc_05_584160418#16_851859001	0
2024-41918	msmarco_v2.1_doc_06_285179120#4_499524770	0
2024-121840	msmarco_v2.1_doc_02_362369783#0_627977978	0
2024-105741	msmarco_v2.1_doc_54_280832078#19_632384476	0
2024-141577	msmarco_v2.1_doc_10_1626155646#7_2663552547	0
2024-213817	msmarco_v2.1_doc_03_675438276#14_1162868344	0
2024-213817	msmarco_v2.1_doc_31_271317333#5_583315079	0
2024-73918	msmarco_v2.1_doc_04_643640604#3_1413600377	0
2024-19025	msmarco_v2.1_doc_30_520843313#3_1179120215	0
2024-105741	msmarco_v2.1_doc_47_123370850#3_234935660	0
2024-88894	msmarco_v2.1_doc_42_1194437956#1_2693832400	0
2024-213789	msmarco_v2.1_doc_26_1206673420#9_2178637330	0
2024-79154	msmarco_v2.1_doc_12_546445072#6_989873379	0
2024-219624	msmarco_v2.1_doc_40_1255071790#11_2685266132	0
2024-35284	msmarco_v2.1_doc_17_947484347#4_1040252547	0
2024-88894	msmarco_v2.1_doc_08_263528162#0_505136291	0
2024-41918	msmarco_v2.1_doc_02_1560929682#1_2627057431	0
2024-213817	msmarco_v2.1_doc_05_1626742686#4_3110456570	0
2024-44059	msmarco_v2.1_doc_05_1607003252#0_3076466103	0
2024-19025	msmarco_v2.1_doc_02_1604182049#7_2721153786	0
2024-214257	msmarco_v2.1_doc_39_481026948#0_1057852555	0
2024-224926	msmarco_v2.1_doc_37_391678443#8_824093705	0
2024-43983	msmarco_v2.1_doc_19_330848815#8_357176792	0
2024-105741	msmarco_v2.1_doc_13_191771384#10_438680144	0
2024-152259	msmarco_v2.1_doc_14_610458760#14_1257390616	0
2024-224926	msmarco_v2.1_doc_25_1099291023#1_2073630130	0
2024-153051	msmarco_v2.1_doc_39_1391707635#5_2895977852	0
2024-32912	msmarco_v2.1_doc_37_171181872#9_343248769	0
2024-41918	msmarco_v2.1_doc_10_1286743060#5_2049804697	0
2024-219661	msmarco_v2.1_doc_55_213733802#11_489415428	0
2024-214257	msmarco_v2.1_doc_39_1054094948#7_2122973594	0
2024-153051	msmarco_v2.1_doc_16_2678019625#8_2963965288	0
2024-213789	msmarco_v2.1_doc_56_1534533684#2_3118323483	0
2024-213469	msmarco_v2.1_doc_11_100426014#5_185501595	0
2024-219661	msmarco_v2.1_doc_51_1704202542#2_3194569432	0
2024-141577	msmarco_v2.1_doc_23_66066237#9_152859514	0
2024-141577	msmarco_v2.1_doc_08_1640370375#0_2956781964	0
2024-29182	msmarco_v2.1_doc_48_1190492408#1_2168600703	0
2024-141577	msmarco_v2.1_doc_16_16814430#5_35232543	0
2024-220140	msmarco_v2.1_doc_52_1291482157#8_2603673125	0
2024-41198	msmarco_v2.1_doc_32_621292806#5_1152827258	0
2024-220140	msmarco_v2.1_doc_01_451542754#3_399257566	0
2024-19025	msmarco_v2.1_doc_40_1107116592#8_2331848577	0
2024-214257	msmarco_v2.1_doc_05_1563788604#2_2984643880	0
2024-224926	msmarco_v2.1_doc_29_1284349808#2_2909131294	0
2024-121840	msmarco_v2.1_doc_25_1363850475#3_2634370179	0
2024-96063	msmarco_v2.1_doc_14_1465412709#2_2989732911	0
2024-44059	msmarco_v2.1_doc_16_2097018567#18_2326304678	0
2024-88894	msmarco_v2.1_doc_02_331965634#0_580362368	0
2024-141577	msmarco_v2.1_doc_58_843095255#4_1229838422	0
2024-94706	msmarco_v2.1_doc_10_1397303771#1_2269439824	0
2024-29182	msmarco_v2.1_doc_42_222323055#2_380013520	0
2024-136156	msmarco_v2.1_doc_07_952823994#3_1657952749	0
2024-88894	msmarco_v2.1_doc_23_130548732#2_302057672	0
2024-216592	msmarco_v2.1_doc_28_545711560#0_1177613625	0
2024-35269	msmarco_v2.1_doc_44_587155703#1_1385973795	0
2024-215952	msmarco_v2.1_doc_39_776445775#5_1568992992	0
2024-215952	msmarco_v2.1_doc_18_4377168#4_5247050	0
2024-69711	msmarco_v2.1_doc_00_1279422582#1_2281738289	0
2024-43905	msmarco_v2.1_doc_16_3276425359#4_3617289676	0
2024-29182	msmarco_v2.1_doc_01_696877040#6_705484499	0
2024-142395	msmarco_v2.1_doc_33_182032532#10_422713039	0
2024-213789	msmarco_v2.1_doc_05_1793085379#17_3412275517	0
2024-58819	msmarco_v2.1_doc_13_1374072042#9_3032779586	0
2024-127288	msmarco_v2.1_doc_35_316770738#3_799519892	0
2024-121840	msmarco_v2.1_doc_29_209133305#12_576944964	0
2024-223358	msmarco_v2.1_doc_05_1277586395#6_2444435651	0
2024-213817	msmarco_v2.1_doc_18_1439853280#5_1621027428	0
2024-214126	msmarco_v2.1_doc_25_201658871#7_386528483	0
2024-216592	msmarco_v2.1_doc_07_664457296#9_1167928846	0
2024-136156	msmarco_v2.1_doc_19_1348013858#1_2101390967	0
2024-41849	msmarco_v2.1_doc_24_854503069#2_1756304008	0
2024-213817	msmarco_v2.1_doc_32_1467602662#22_3178240325	0
2024-43905	msmarco_v2.1_doc_52_876588799#18_1734678806	0
2024-141577	msmarco_v2.1_doc_22_727982690#9_1704543679	0
2024-29182	msmarco_v2.1_doc_48_1190492408#20_2168631507	0
2024-214257	msmarco_v2.1_doc_39_1222037962#6_2503092079	0
2024-44059	msmarco_v2.1_doc_09_541386849#0_841454161	0
2024-217279	msmarco_v2.1_doc_14_324883196#2_718352127	0
2024-36155	msmarco_v2.1_doc_09_814148811#6_1374298098	0
2024-29182	msmarco_v2.1_doc_13_1113621035#4_2482577753	0
2024-153051	msmarco_v2.1_doc_48_310056094#13_476039628	0
2024-29182	msmarco_v2.1_doc_26_998395815#16_1972781333	0
2024-220140	msmarco_v2.1_doc_31_696926533#7_1373121797	0
2024-213789	msmarco_v2.1_doc_42_535838404#4_1031132693	0
2024-223358	msmarco_v2.1_doc_39_542522140#8_1149658502	0
2024-214257	msmarco_v2.1_doc_17_2647387356#11_2862116470	0
2024-40863	msmarco_v2.1_doc_06_1670729984#2_2458807385	0
2024-23862	msmarco_v2.1_doc_24_578173742#3_1228885163	0
2024-219624	msmarco_v2.1_doc_28_894654474#6_1888253036	0
2024-128784	msmarco_v2.1_doc_01_999807424#0_1229931633	0
2024-214467	msmarco_v2.1_doc_16_3164971444#5_3494975076	0
2024-217279	msmarco_v2.1_doc_07_1471162811#3_2718864260	0
2024-18963	msmarco_v2.1_doc_14_929566211#3_1905671842	0
2024-73918	msmarco_v2.1_doc_58_803100860#2_1133654675	0
2024-96063	msmarco_v2.1_doc_13_351589017#4_832058289	0
2024-213817	msmarco_v2.1_doc_51_1482999970#1_3023546596	0
2024-153051	msmarco_v2.1_doc_52_672686324#8_1302206991	0
2024-44059	msmarco_v2.1_doc_17_1270856387#21_1402182677	0
2024-29182	msmarco_v2.1_doc_45_1227402755#10_2478547515	0
2024-214257	msmarco_v2.1_doc_24_1633801506#18_3514146261	0
2024-217488	msmarco_v2.1_doc_50_2274459920#1_3075172713	0
2024-32912	msmarco_v2.1_doc_03_649923359#9_1115551142	0
2024-88894	msmarco_v2.1_doc_35_1615240829#0_3599351329	0
2024-213817	msmarco_v2.1_doc_04_225878177#2_601721698	0
2024-23862	msmarco_v2.1_doc_38_1325021068#1_2694744158	0
2024-219661	msmarco_v2.1_doc_30_744644828#14_1696911373	0
2024-38986	msmarco_v2.1_doc_51_1465983635#9_2985473846	0
2024-214126	msmarco_v2.1_doc_05_504918571#11_714034139	0
2024-214126	msmarco_v2.1_doc_51_1539188035#5_3068638883	0
2024-121840	msmarco_v2.1_doc_49_1547484625#14_3228705255	0
2024-213817	msmarco_v2.1_doc_24_282580365#1_586270645	0
2024-35269	msmarco_v2.1_doc_13_1301077408#2_2874077186	0
2024-121840	msmarco_v2.1_doc_02_541583593#3_947230229	0
2024-224926	msmarco_v2.1_doc_18_1839502410#9_2072764524	0
2024-219661	msmarco_v2.1_doc_14_937149581#14_1921312130	0
2024-35227	msmarco_v2.1_doc_26_1764177436#2_3050899418	0
2024-214257	msmarco_v2.1_doc_21_999832548#5_2170138522	0
2024-127288	msmarco_v2.1_doc_18_1309034113#3_1471259498	0
2024-213789	msmarco_v2.1_doc_46_38840817#4_85222030	0
2024-219563	msmarco_v2.1_doc_35_452190054#4_1229213382	1
2024-42497	msmarco_v2.1_doc_20_555440234#7_1226753336	1
2024-215952	msmarco_v2.1_doc_00_742384263#2_1386029578	1
2024-41918	msmarco_v2.1_doc_08_614247145#3_1103820090	1
2024-38986	msmarco_v2.1_doc_00_465021312#3_853253598	1
2024-12875	msmarco_v2.1_doc_50_2118356567#12_2941957264	1
2024-23862	msmarco_v2.1_doc_50_2471288759#8_3316438457	1
2024-27366	msmarco_v2.1_doc_52_1086136850#12_2150650227	1
2024-58819	msmarco_v2.1_doc_43_315274076#18_681354524	1
2024-220140	msmarco_v2.1_doc_06_1409280788#7_1944144898	1
2024-149459	msmarco_v2.1_doc_53_372426425#5_732006346	1
2024-219661	msmarco_v2.1_doc_51_1716969794#0_3210651398	1
2024-142395	msmarco_v2.1_doc_01_1553779860#6_2248472671	1
2024-44060	msmarco_v2.1_doc_59_741757817#4_1687165299	1
2024-219563	msmarco_v2.1_doc_15_1778739770#2_3553301203	1
2024-216957	msmarco_v2.1_doc_09_1590620169#3_2782595024	1
2024-149459	msmarco_v2.1_doc_28_404076577#4_853261513	1
2024-69711	msmarco_v2.1_doc_17_3783336900#11_3890470128	1
2024-219631	msmarco_v2.1_doc_40_1108199124#14_2334754498	1
2024-40863	msmarco_v2.1_doc_42_1583613484#12_3768013023	1
2024-219631	msmarco_v2.1_doc_38_1567625021#5_3317517653	1
2024-23862	msmarco_v2.1_doc_57_600956769#3_858590790	1
2024-224701	msmarco_v2.1_doc_27_93673981#1_137644779	1
2024-43037	msmarco_v2.1_doc_00_1644852350#12_2875373787	1
2024-219661	msmarco_v2.1_doc_41_264265355#3_615458659	1
2024-152259	msmarco_v2.1_doc_18_1678097459#2_1891628344	1
2024-12875	msmarco_v2.1_doc_00_1330222474#3_2360626459	1
2024-18963	msmarco_v2.1_doc_23_504583992#3_1106439676	1
2024-79081	msmarco_v2.1_doc_50_1078812550#7_1820166624	1
2024-141577	msmarco_v2.1_doc_00_537447010#1_983972243	1
2024-214096	msmarco_v2.1_doc_10_709580685#1_1316087260	1
2024-220140	msmarco_v2.1_doc_42_741044054#0_1579220828	1
2024-27366	msmarco_v2.1_doc_14_1341996649#1_2742964582	1
2024-29182	msmarco_v2.1_doc_26_1414297927#8_2539747716	1
2024-38986	msmarco_v2.1_doc_56_668058548#0_1359957909	1
2024-40863	msmarco_v2.1_doc_12_1226908948#5_2459486639	1
2024-224226	msmarco_v2.1_doc_01_1192194928#3_1566164838	1
2024-143869	msmarco_v2.1_doc_05_1233716702#4_2349956672	1
2024-23862	msmarco_v2.1_doc_27_348866207#8_677714515	1
2024-23862	msmarco_v2.1_doc_19_1688472569#4_2726978382	1
2024-22410	msmarco_v2.1_doc_48_1591443696#12_2953708504	1
2024-73340	msmarco_v2.1_doc_37_288929785#4_613161020	1
2024-213469	msmarco_v2.1_doc_32_1049934745#2_2089947611	1
2024-142395	msmarco_v2.1_doc_28_5857505#9_16182017	1
2024-217812	msmarco_v2.1_doc_23_1397690825#5_3080888894	1
2024-105741	msmarco_v2.1_doc_50_1907589571#10_2717660238	1
2024-38986	msmarco_v2.1_doc_56_667883813#2_1359567422	1
2024-42497	msmarco_v2.1_doc_11_828480040#0_1571899466	1
2024-214096	msmarco_v2.1_doc_35_715755289#17_1739849169	1
2024-38986	msmarco_v2.1_doc_27_1214651349#7_2445422785	1
2024-213469	msmarco_v2.1_doc_34_493266866#4_1072139958	1
2024-79081	msmarco_v2.1_doc_03_133763628#8_256060513	1
2024-152817	msmarco_v2.1_doc_08_1517637587#3_2739434203	1
2024-96359	msmarco_v2.1_doc_39_551333767#0_1161575290	1
2024-27366	msmarco_v2.1_doc_43_445090100#6_982263750	1
2024-220058	msmarco_v2.1_doc_57_948722351#4_1607590743	1
2024-214096	msmarco_v2.1_doc_20_969545666#4_2147524450	1
2024-158261	msmarco_v2.1_doc_40_1106639842#3_2330494769	1
2024-41464	msmarco_v2.1_doc_01_1932050799#7_2884191410	1
2024-29182	msmarco_v2.1_doc_17_1898509863#4_2046185279	1
2024-41464	msmarco_v2.1_doc_45_931315869#11_1792568282	1
2024-105741	msmarco_v2.1_doc_15_609636625#2_1242839289	1
2024-42497	msmarco_v2.1_doc_20_1076942216#0_2357660958	1
2024-42497	msmarco_v2.1_doc_48_815269863#0_1470246713	1
2024-149459	msmarco_v2.1_doc_39_169062695#0_342269709	1
2024-137182	msmarco_v2.1_doc_00_1233719401#10_2208262640	1
2024-94706	msmarco_v2.1_doc_28_489123501#10_1051307018	1
2024-29941	msmarco_v2.1_doc_49_1549159786#0_3231869651	1
2024-152259	msmarco_v2.1_doc_15_250032195#8_516746527	1
2024-213817	msmarco_v2.1_doc_58_1248095210#2_1837064550	1
2024-27366	msmarco_v2.1_doc_10_510922120#1_945219615	1
2024-158743	msmarco_v2.1_doc_17_379191809#15_417478168	1
2024-27366	msmarco_v2.1_doc_37_1289280176#5_2831092345	1
2024-224279	msmarco_v2.1_doc_20_1488367914#17_3254017968	1
2024-35227	msmarco_v2.1_doc_39_1212417787#2_2470563534	1
2024-23862	msmarco_v2.1_doc_05_1585418851#11_3032926631	1
2024-94706	msmarco_v2.1_doc_28_662138824#3_1428337275	1
2024-29182	msmarco_v2.1_doc_41_1690609988#9_2618225484	1
2024-216957	msmarco_v2.1_doc_11_550047903#7_979700998	1
2024-213469	msmarco_v2.1_doc_34_995076860#1_2038606696	1
2024-105741	msmarco_v2.1_doc_01_1263521954#0_1651920796	1
2024-224226	msmarco_v2.1_doc_48_1012091109#9_1811496728	1
2024-217279	msmarco_v2.1_doc_47_291688943#3_555424363	1
2024-127266	msmarco_v2.1_doc_15_1675199349#7_3314895436	1
2024-127288	msmarco_v2.1_doc_08_1583232263#6_2857672630	1
2024-214096	msmarco_v2.1_doc_22_879414753#9_1980807700	1
2024-224701	msmarco_v2.1_doc_39_795499438#4_1606503556	1
2024-214467	msmarco_v2.1_doc_08_661276143#2_1190105079	1
2024-88894	msmarco_v2.1_doc_25_511273138#6_1008823114	1
2024-141577	msmarco_v2.1_doc_44_1630262365#2_3370498615	1
2024-88894	msmarco_v2.1_doc_42_1208496999#0_2717629296	1
2024-219563	msmarco_v2.1_doc_36_1404499012#1_2913286816	1
2024-153051	msmarco_v2.1_doc_03_42890375#8_95822076	1
2024-153051	msmarco_v2.1_doc_52_642387380#15_1228195486	1
2024-43983	msmarco_v2.1_doc_54_1661051481#8_3655461610	1
2024-127266	msmarco_v2.1_doc_51_880750803#8_1852939826	1
2024-143869	msmarco_v2.1_doc_24_604418367#1_1284329607	1
2024-94706	msmarco_v2.1_doc_53_407921327#1_814121075	1
2024-213469	msmarco_v2.1_doc_40_1073729672#2_2240838046	1
2024-96359	msmarco_v2.1_doc_18_1769374373#0_1995723528	1
2024-216592	msmarco_v2.1_doc_22_1044818629#8_2324644780	1
2024-216592	msmarco_v2.1_doc_41_841676527#1_1821957115	1
2024-38986	msmarco_v2.1_doc_06_212728735#9_378940537	1
2024-96063	msmarco_v2.1_doc_08_1488581279#9_2685525574	1
2024-216957	msmarco_v2.1_doc_56_407129814#6_835902809	1
2024-29182	msmarco_v2.1_doc_56_386856928#7_799092593	1
2024-149459	msmarco_v2.1_doc_53_502046427#8_1002717186	1
2024-213469	msmarco_v2.1_doc_24_577626703#4_1227500225	1
2024-224279	msmarco_v2.1_doc_08_1372106030#1_2483920333	1
2024-40863	msmarco_v2.1_doc_20_1409302574#15_3085803365	1
2024-41918	msmarco_v2.1_doc_06_742283333#3_1329985924	1
2024-216957	msmarco_v2.1_doc_09_1615074448#2_2834600788	1
2024-79081	msmarco_v2.1_doc_48_734699280#1_1318995247	1
2024-43983	msmarco_v2.1_doc_31_1175712597#3_2369026328	1
2024-41198	msmarco_v2.1_doc_25_782510739#1_1499857258	1
2024-35227	msmarco_v2.1_doc_46_17167562#4_39425063	1
2024-42014	msmarco_v2.1_doc_29_669017907#5_1560495287	1
2024-214467	msmarco_v2.1_doc_48_884638867#0_1624196867	1
2024-23862	msmarco_v2.1_doc_56_809411257#5_1659437522	1
2024-38986	msmarco_v2.1_doc_33_614255848#4_1303390144	1
2024-36155	msmarco_v2.1_doc_23_599049353#1_1336997965	1
2024-23862	msmarco_v2.1_doc_03_259207185#4_482157634	1
2024-41464	msmarco_v2.1_doc_11_773079058#10_1441395486	1
2024-158677	msmarco_v2.1_doc_19_1242208463#12_1854632425	1
2024-41464	msmarco_v2.1_doc_43_511300858#22_1124012576	1
2024-214257	msmarco_v2.1_doc_36_337147243#1_713190965	1
2024-142395	msmarco_v2.1_doc_04_953915260#7_1988091278	1
2024-43037	msmarco_v2.1_doc_18_1770243199#2_1996339494	1
2024-143869	msmarco_v2.1_doc_06_152377478#2_251405410	1
2024-220058	msmarco_v2.1_doc_35_1397022410#4_3206035617	1
2024-127288	msmarco_v2.1_doc_14_912359007#0_1869342080	1
2024-219631	msmarco_v2.1_doc_45_1000452693#4_1958141374	1
2024-217812	msmarco_v2.1_doc_48_1370231623#8_2504758367	1
